start,end,duration_min,peak_mm,mean_mm,duration
2023-03-26 18:02:22,2023-03-26 18:03:22,2,3000.903,3000.903,2min
2023-03-26 18:05:22,2023-03-26 18:05:22,1,3000.903,3000.903,1min
2023-03-31 04:39:33,2023-03-31 07:02:33,144,3283.752,3196.083881944445,2h 24min
2023-04-01 01:43:33,2023-04-01 01:43:33,1,3001.328,3001.328,1min
2023-04-01 01:55:33,2023-04-01 01:56:33,2,3001.328,3001.328,2min
2023-04-01 01:58:33,2023-04-01 03:08:33,71,3104.976,3064.672464788732,1h 11min
2023-04-06 22:54:33,2023-04-06 22:55:33,2,3003.647,3003.647,2min
2023-04-06 22:58:33,2023-04-06 22:58:33,1,3003.647,3003.647,1min
2023-04-06 23:01:33,2023-04-06 23:01:33,1,3001.328,3001.328,1min
2023-05-09 13:24:33,2023-05-09 13:24:33,1,3001.328,3001.328,1min
2023-05-09 13:26:33,2023-05-09 13:33:33,8,3010.835,3005.415125,8min
2023-05-09 13:35:33,2023-05-09 17:07:33,213,3356.329,3151.641976525822,3h 33min
2023-05-12 06:50:33,2023-05-12 10:42:33,233,3629.246,3368.700763948498,3h 53min
2023-06-20 18:00:33,2023-06-20 21:56:33,237,3614.638,3355.0422278481014,3h 57min
2023-06-22 10:19:33,2023-06-22 14:49:33,271,3626.695,3475.112959409594,4h 31min
2023-06-22 15:01:33,2023-06-22 18:33:33,213,3626.695,3398.7423145539906,3h 33min
2023-07-08 13:44:33,2023-07-08 13:47:33,4,3032.631,3028.3995,4min
2023-07-08 13:49:33,2023-07-08 13:49:33,1,3005.966,3005.966,1min
2023-07-15 17:51:33,2023-07-15 19:40:33,110,3392.501,3222.3662,1h 50min
2023-07-23 18:43:33,2023-07-23 23:47:33,305,3624.376,3362.4327967213117,5h 5min
2023-07-23 23:52:33,2023-07-23 23:53:33,2,3005.966,3005.966,2min
2023-07-24 01:56:33,2023-07-24 07:47:33,352,3629.246,3391.777974431818,5h 52min
2023-07-27 08:23:33,2023-07-27 09:22:33,60,3083.412,3046.4741833333333,1h 0min
2023-07-31 21:47:33,2023-08-01 00:46:33,180,3327.344,3158.085944444444,3h 0min
2023-08-01 00:48:33,2023-08-01 00:53:33,6,3049.558,3029.385,6min
2023-08-05 20:25:33,2023-08-05 22:49:33,145,3411.747,3195.810503448276,2h 25min
2023-08-05 22:53:33,2023-08-05 22:55:33,3,3039.82,3033.404666666667,3min
2023-08-05 23:22:33,2023-08-05 23:23:33,2,3025.443,3021.733,2min
2023-08-06 00:10:33,2023-08-06 00:12:33,3,3044.689,3033.4816666666666,3min
2023-08-06 04:39:33,2023-08-06 07:13:33,155,3324.794,3194.318470967742,2h 35min
2023-08-08 20:10:33,2023-08-08 21:56:33,107,3312.736,3214.0875140186918,1h 47min
2023-08-08 22:03:33,2023-08-08 22:06:33,4,3025.443,3015.12475,4min
2023-08-08 22:14:33,2023-08-08 22:22:33,9,3030.313,3014.0815555555555,9min
2023-08-08 22:27:33,2023-08-08 22:27:33,1,3001.328,3001.328,1min
2023-08-08 22:32:33,2023-08-08 22:32:33,1,3003.647,3003.647,1min
2023-08-12 04:01:33,2023-08-12 07:30:33,210,3624.376,3341.6323333333335,3h 30min
2023-08-25 06:10:33,2023-08-25 10:02:33,233,3556.669,3338.38982832618,3h 53min
2023-08-25 11:21:33,2023-08-25 13:19:33,119,3407.109,3219.0646722689075,1h 59min
2023-08-30 21:10:33,2023-08-30 23:03:33,114,3293.491,3166.3113596491226,1h 54min
2023-08-30 23:05:33,2023-08-30 23:05:33,1,3001.328,3001.328,1min
